Wave,SiteID,Date,Weather,Time,Count
2023 W1 spring,ML0001,22/06/2023,Dry,06:15:00,40
2023 W1 spring,ML0001,22/06/2023,Dry,06:30:00,52
2023 W1 spring,ML0001,22/06/2023,Dry,06:45:00,56
2023 W1 spring,ML0001,22/06/2023,Dry,07:00:00,107
2023 W1 spring,ML0001,22/06/2023,Dry,07:15:00,127
2023 W1 spring,ML0001,22/06/2023,Dry,07:30:00,153
2023 W1 spring,ML0001,22/06/2023,Dry,07:45:00,168
2023 W1 spring,ML0001,22/06/2023,Dry,08:00:00,212
2023 W1 spring,ML0001,22/06/2023,Dry,08:15:00,225
2023 W1 spring,ML0001,22/06/2023,Dry,08:30:00,247
2023 W1 spring,ML0001,22/06/2023,Dry,08:45:00,205
2023 W1 spring,ML0001,22/06/2023,Dry,09:00:00,169
2023 W1 spring,ML0001,22/06/2023,Dry,09:15:00,96
2023 W1 spring,ML0001,22/06/2023,Dry,09:30:00,89
2023 W1 spring,ML0001,22/06/2023,Dry,09:45:00,59
2023 W1 spring,ML0001,22/06/2023,Dry,10:00:00,36
2023 W1 spring,ML0001,22/06/2023,Dry,10:15:00,31
2023 W1 spring,ML0001,22/06/2023,Dry,10:30:00,24
2023 W1 spring,ML0001,22/06/2023,Dry,10:45:00,17
2023 W1 spring,ML0001,22/06/2023,Dry,11:00:00,32
2023 W1 spring,ML0001,22/06/2023,Dry,11:15:00,21
2023 W1 spring,ML0001,22/06/2023,Dry,11:30:00,16
2023 W1 spring,ML0001,22/06/2023,Dry,11:45:00,19
2023 W1 spring,ML0001,22/06/2023,Dry,12:00:00,19
2023 W1 spring,ML0001,22/06/2023,Dry,12:15:00,19
2023 W1 spring,ML0001,22/06/2023,Dry,12:30:00,31
2023 W1 spring,ML0001,22/06/2023,Dry,12:45:00,18
2023 W1 spring,ML0001,22/06/2023,Dry,13:00:00,21
2023 W1 spring,ML0001,22/06/2023,Dry,13:15:00,17
2023 W1 spring,ML0001,22/06/2023,Dry,13:30:00,18
2023 W1 spring,ML0001,22/06/2023,Dry,13:45:00,16
2023 W1 spring,ML0001,22/06/2023,Dry,14:00:00,15
2023 W1 spring,ML0001,22/06/2023,Dry,14:15:00,19
2023 W1 spring,ML0001,22/06/2023,Dry,14:30:00,15
2023 W1 spring,ML0001,22/06/2023,Dry,14:45:00,16
2023 W1 spring,ML0001,22/06/2023,Dry,15:00:00,9
2023 W1 spring,ML0001,22/06/2023,Dry,15:15:00,20
2023 W1 spring,ML0001,22/06/2023,Dry,15:30:00,18
2023 W1 spring,ML0001,22/06/2023,Dry,15:45:00,20
2023 W1 spring,ML0001,22/06/2023,Dry,16:00:00,25
2023 W1 spring,ML0001,22/06/2023,Dry,16:15:00,20
2023 W1 spring,ML0001,22/06/2023,Dry,16:30:00,20
2023 W1 spring,ML0001,22/06/2023,Dry,16:45:00,28
2023 W1 spring,ML0001,22/06/2023,Dry,17:00:00,33
2023 W1 spring,ML0001,22/06/2023,Dry,17:15:00,48
2023 W1 spring,ML0001,22/06/2023,Dry,17:30:00,40
2023 W1 spring,ML0001,22/06/2023,Dry,17:45:00,46
2023 W1 spring,ML0001,22/06/2023,Dry,18:00:00,38
2023 W1 spring,ML0001,22/06/2023,Dry,18:15:00,55
2023 W1 spring,ML0001,22/06/2023,Dry,18:30:00,40
2023 W1 spring,ML0001,22/06/2023,Dry,18:45:00,44
2023 W1 spring,ML0001,22/06/2023,Dry,19:00:00,13
2023 W1 spring,ML0001,22/06/2023,Dry,19:15:00,17
2023 W1 spring,ML0001,22/06/2023,Dry,19:30:00,15
2023 W1 spring,ML0001,22/06/2023,Dry,19:45:00,22
2023 W1 spring,ML0001,22/06/2023,Dry,20:00:00,9
2023 W1 spring,ML0001,22/06/2023,Dry,20:15:00,22
2023 W1 spring,ML0001,22/06/2023,Dry,20:30:00,8
2023 W1 spring,ML0001,22/06/2023,Dry,20:45:00,14
2023 W1 spring,ML0001,22/06/2023,Dry,21:00:00,13
2023 W1 spring,ML0001,22/06/2023,Dry,21:15:00,24
2023 W1 spring,ML0001,22/06/2023,Dry,21:30:00,13
2023 W1 spring,ML0001,22/06/2023,Dry,21:45:00,11
2023 W1 spring,ML0001,22/06/2023,Dry,06:15:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,07:30:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,08:00:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,09:45:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,10:00:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,10:30:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,14:15:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,16:30:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,20:30:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,21:00:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,21:15:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,14:45:00,2
2023 W1 spring,ML0001,22/06/2023,Dry,07:15:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,12:45:00,2
