Wave,SiteID,Date,Weather,Time,Count
2023 W1 spring,ML0001,22/06/2023,Dry,17:45:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,18:30:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,20:15:00,3
2023 W1 spring,ML0001,22/06/2023,Dry,06:00:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,06:15:00,5
2023 W1 spring,ML0001,22/06/2023,Dry,06:30:00,7
2023 W1 spring,ML0001,22/06/2023,Dry,06:45:00,6
2023 W1 spring,ML0001,22/06/2023,Dry,07:00:00,24
2023 W1 spring,ML0001,22/06/2023,Dry,07:15:00,22
2023 W1 spring,ML0001,22/06/2023,Dry,07:30:00,37
2023 W1 spring,ML0001,22/06/2023,Dry,07:45:00,27
2023 W1 spring,ML0001,22/06/2023,Dry,08:00:00,34
2023 W1 spring,ML0001,22/06/2023,Dry,08:15:00,52
2023 W1 spring,ML0001,22/06/2023,Dry,08:30:00,86
2023 W1 spring,ML0001,22/06/2023,Dry,08:45:00,80
2023 W1 spring,ML0001,22/06/2023,Dry,09:00:00,65
2023 W1 spring,ML0001,22/06/2023,Dry,09:15:00,50
2023 W1 spring,ML0001,22/06/2023,Dry,09:30:00,41
2023 W1 spring,ML0001,22/06/2023,Dry,09:45:00,31
2023 W1 spring,ML0001,22/06/2023,Dry,10:00:00,20
2023 W1 spring,ML0001,22/06/2023,Dry,10:15:00,9
2023 W1 spring,ML0001,22/06/2023,Dry,10:30:00,18
2023 W1 spring,ML0001,22/06/2023,Dry,10:45:00,11
2023 W1 spring,ML0001,22/06/2023,Dry,11:00:00,15
2023 W1 spring,ML0001,22/06/2023,Dry,11:15:00,13
2023 W1 spring,ML0001,22/06/2023,Dry,11:30:00,15
2023 W1 spring,ML0001,22/06/2023,Dry,12:00:00,23
2023 W1 spring,ML0001,22/06/2023,Dry,12:15:00,23
2023 W1 spring,ML0001,22/06/2023,Dry,12:30:00,42
2023 W1 spring,ML0001,22/06/2023,Dry,12:45:00,54
2023 W1 spring,ML0001,22/06/2023,Dry,13:00:00,47
2023 W1 spring,ML0001,22/06/2023,Dry,13:15:00,23
2023 W1 spring,ML0001,22/06/2023,Dry,13:30:00,31
2023 W1 spring,ML0001,22/06/2023,Dry,13:45:00,32
2023 W1 spring,ML0001,22/06/2023,Dry,14:00:00,33
2023 W1 spring,ML0001,22/06/2023,Dry,14:15:00,23
2023 W1 spring,ML0001,22/06/2023,Dry,14:30:00,16
2023 W1 spring,ML0001,22/06/2023,Dry,14:45:00,26
2023 W1 spring,ML0001,22/06/2023,Dry,15:00:00,25
2023 W1 spring,ML0001,22/06/2023,Dry,15:15:00,17
2023 W1 spring,ML0001,22/06/2023,Dry,16:00:00,20
